BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Hotel,LAKE UNION,1998,1.0,5,123920,0.242092,0.435201,0.564799,0.0,9373179.0,75.59999847,309.6,2.5
Nonresidential COS,Other,LAKE UNION,1900,1.0,1,50000,0.0,0.503116,0.496884,0.0,7548807.0,175.6000061,225.69,4.51
Nonresidential COS,Warehouse,MAGNOLIA / QUEEN ANNE,1926,1.0,2,50292,0.0,1.000001,0.0,0.0,430473.6875,8.0,3.0,0.06
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1998,1.0,7,207656,0.261688,0.495058,0.504941,0.0,11171988.0,78.90000153,338.16,1.63
Nonresidential COS,Small- and Mid-Sized Office,NORTHWEST,1957,1.0,2,91130,0.0,0.748914,0.251086,0.0,9472358.0,100.5,175.77,1.93
NonResidential,Hotel,NORTHWEST,1968,1.0,4,64893,0.0,0.422817,0.577183,0.0,6197825.0,95.5,208.26,3.21
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,3,44558,0.0,0.78571,0.21429,0.0,1677002.25,37.59999847,28.27,0.63
NonResidential,Other,GREATER DUWAMISH,1999,1.0,6,1585960,0.206613,0.827343,0.172657,0.0,59757440.0,37.70000076,892.63,0.56
Nonresidential COS,Distribution Center,GREATER DUWAMISH,1924,1.0,2,179161,0.0,0.929602,0.070398,0.0,9436408.0,52.20000076,96.43,0.54
Nonresidential COS,Warehouse,GREATER DUWAMISH,1965,1.0,2,58640,0.0,1.0,0.0,0.0,3928695.25,55.90000153,27.39,0.47
NonResidential,Other,GREATER DUWAMISH,1999,1.0,3,1172127,0.0,0.691312,0.308688,0.0,58761304.0,50.09999847,1246.55,1.06
NonResidential,Hotel,GREATER DUWAMISH,2005,1.0,9,168449,0.086477,0.489694,0.510306,0.0,12726789.0,88.19999695,388.37,2.31
NonResidential,Warehouse,GREATER DUWAMISH,1916,0.0,4,79600,0.0,1.0,0.0,0.0,2411402.25,30.29999924,16.81,0.21
Campus,Large Office,GREATER DUWAMISH,1980,14.0,2,334368,0.095326,0.847656,0.152343,0.0,53466684.0,159.8999939,748.55,2.24
NonResidential,Other,NORTH,2008,1.0,6,419848,0.798167,0.765766,0.234234,0.0,9134963.0,107.8000031,162.41,0.39
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,2002,1.0,4,110785,0.0,0.960375,0.039625,0.0,10557910.0,95.30000305,92.91,0.84
NonResidential,Hotel,DOWNTOWN,1999,1.0,0,934292,0.0,0.605162,0.394838,0.0,65047284.0,117.9000015,1638.46,1.75
NonResidential,Hospital,CENTRAL,1990,6.0,5,597519,0.0,0.409662,0.590338,0.0,143423024.0,238.3999939,4906.33,8.21
NonResidential,Warehouse,LAKE UNION,1991,1.0,3,75397,0.10824,0.770931,0.229068,0.0,549181.375,8.199999809,9.63,0.13
NonResidential,Hospital,EAST,2000,9.0,8,1158691,0.0,0.575534,0.006251,0.418215,293090784.0,217.1000061,10734.57,9.26
NonResidential,Senior Care Community,DOWNTOWN,1999,1.0,5,102796,0.12268,0.735135,0.264865,0.0,10105379.0,98.30000305,193.94,1.89
NonResidential,K-12 School,NORTHEAST,1928,1.0,2,55653,0.0,0.004455,0.995545,0.0,1377627.0,24.79999924,72.88,1.31
NonResidential,Hotel,NORTHEAST,1931,1.0,16,106860,0.0,0.29841,0.70159,0.0,11935719.0,111.6999969,469.57,4.39
NonResidential,Small- and Mid-Sized Office,NORTH,1972,1.0,5,50759,0.0,0.812996,0.187004,0.0,3147042.0,62.0,49.09,0.97
NonResidential,Worship Facility,NORTHEAST,1952,1.0,2,56772,0.0,0.399721,0.600279,0.0,2439484.75,43.0,84.57,1.49
NonResidential,Worship Facility,NORTHEAST,1952,1.0,3,103000,0.0,0.481712,0.518289,0.0,4854429.5,47.09999847,149.93,1.46
NonResidential,Other,DOWNTOWN,1914,1.0,7,128766,0.0,0.946386,0.053614,0.0,6057410.0,47.0,57.21,0.44
NonResidential,Residence Hall,DOWNTOWN,1913,1.0,9,107572,0.0,0.447924,0.0,0.552076,5572503.0,54.79999924,254.87,2.37
NonResidential,Other,DOWNTOWN,1955,1.0,15,230880,0.0,1.0,0.0,0.0,62197176.0,306.3999939,433.6,1.88
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1973,1.0,1,76086,0.0,0.47845,0.52155,0.0,3267564.0,42.0,101.41,1.33
NonResidential,Medical Office,MAGNOLIA / QUEEN ANNE,1927,1.0,5,190000,0.205263,0.652435,0.347565,0.0,28731502.0,183.5,661.04,3.48
NonResidential,Hotel,DOWNTOWN,1961,1.0,4,122309,0.0,0.248394,0.751606,0.0,25453690.0,208.1000061,1060.13,8.67
Campus,Other,DOWNTOWN,1995,4.0,3,215476,0.0,0.57411,0.425889,0.0,24017770.0,110.5999985,639.39,2.97
