BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,Other,Distribution Center,Parking,Hotel,Restaurant,Supermarket/Grocery Store,Medical Office,Non-Refrigerated Warehouse,K-12 School,Retail Store,Worship Facility,Office,grouped_usetypes
NonResidential,Small- and Mid-Sized Office,BALLARD,1961,1.0,2,94900,0.0,0.693706,0.306294,0.0,6186461.5,65.19999695,130.56,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142676501580611,0.0,0.0,0.0,0.5857323498419389,0.0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1900,1.0,2,52554,0.0,0.535267,0.464733,0.0,2951331.25,50.09999847,83.86,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709822278037827,0.14935114358564525
NonResidential,K-12 School,NORTHWEST,1954,1.0,3,175015,0.0,0.383108,0.616892,0.0,6994740.5,40.0,247.85,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NonResidential,Self-Storage Facility,DOWNTOWN,1911,1.0,3,70586,0.0,0.694992,0.305008,0.0,2158629.0,30.60000038,45.43,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054670897911767206,0.9440398945966622
NonResidential,Hotel,DOWNTOWN,1969,1.0,24,332210,0.619999,0.755074,0.244926,0.0,16163194.0,46.40000153,295.33,0.89,0.0,0.0,0.0,1.049426567532585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Large Office,DOWNTOWN,1973,1.0,5,168115,0.0,1.0,0.0,0.0,9536161.0,56.29999924,66.48,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3906611545668144,0.0,0.6148291348184278,0.0029325164322041458
NonResidential,Other,DOWNTOWN,1920,1.0,2,57428,0.0,0.573161,0.426839,0.0,1247362.0,21.70000076,33.26,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,8,59400,0.0,1.0,0.0,0.0,5071974.0,85.40000153,35.36,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08405723905723905,0.0,0.5883333333333334,0.0
NonResidential,Mixed Use Property,DOWNTOWN,1926,1.0,2,52549,0.0,0.308292,0.691708,0.0,15026196.0,286.3999939,584.31,11.12,0.0,0.0,0.0,0.0,0.44720165940360423,0.0,0.0,0.0,0.0,0.0,0.0,0.10388399398656492,0.44720165940360423
NonResidential,Hotel,DOWNTOWN,1930,1.0,20,98634,0.101821,0.886129,0.113871,0.0,4841347.5,54.59999847,59.19,0.6,0.0,0.0,0.10182087312691364,0.8474866678832856,0.050692458989800675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,1982,1.0,34,994212,0.147548,0.565999,0.289862,0.144138,80469216.0,80.90000153,2451.58,2.47,0.0,0.0,0.11835302732214055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,1985,1.0,7,71150,0.0,0.606528,0.393472,0.0,5348309.0,93.09999847,134.38,1.89,0.0,0.0,0.19297259311314124,0.5810260014054813,0.0,0.0,0.0,0.0,0.0,0.13498243148278286,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,1908,1.0,7,122810,0.0,0.239492,0.760508,0.0,5401277.5,44.0,227.18,1.85,0.0,0.0,0.0,0.7194853839263904,0.0,0.0,0.0,0.0,0.0,0.06514127514046088,0.0,0.0,0.21537334093314878
NonResidential,Hotel,LAKE UNION,1959,1.0,5,113173,0.375938,0.557246,0.442754,0.0,5284343.5,74.80000305,144.79,1.28,0.0,0.0,0.3759377236620042,0.6240622763379958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
