BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Hotel,DOWNTOWN,1998,1.0986122886681096,3.295836866004329,12.71643216068442,0.7809611520510913,0.671207,0.106109,0.7987154746303422,26941110.0,80.0,740.97,2.22
NonResidential,Hotel,DOWNTOWN,1928,1.0986122886681096,2.3978952727983707,11.082311765329093,0.6931471805599453,0.203606,0.545281,0.8114247605757724,6596057.5,101.5,328.23,5.05
NonResidential,Hotel,DOWNTOWN,1980,1.0986122886681096,3.5553480614894135,12.66335191235251,0.7803821158918799,0.622798,0.182906,0.7858612661532265,22325364.0,75.5,648.62,2.05
NonResidential,Hotel,DOWNTOWN,1922,1.0986122886681096,2.5649493574615367,11.431628637884254,0.8212540746591159,0.356499,0.190399,0.8973533461485047,10750010.0,159.5,511.39,5.55
Nonresidential COS,Other,DOWNTOWN,2004,1.0986122886681096,2.5649493574615367,12.928783482688813,0.7600345036013832,0.960322,0.0,0.7127919522603311,18588860.0,50.79999924,181.38,0.44
NonResidential,Other,DOWNTOWN,1930,1.0986122886681096,2.0794415416798357,11.551309289568414,0.6931471805599453,0.447337,0.091417,0.9006677257794256,9956396.0,76.59999847,433.86,4.18
NonResidential,Hotel,DOWNTOWN,1983,1.0986122886681096,3.4011973816621555,12.939120596413634,0.7903596407901181,0.632519,0.367481,0.6931471805599453,33556756.0,96.30000305,802.89,1.93
NonResidential,Mixed Use Property,DOWNTOWN,1907,1.0986122886681096,1.9459101490553132,10.958739906614673,0.6931471805599453,0.494971,0.271505,0.8035806072190604,7606084.5,132.3999939,273.02,4.75
NonResidential,Hotel,DOWNTOWN,1916,1.0986122886681096,2.4849066497880004,11.555544244305413,0.6931471805599453,0.581841,0.080296,0.8492372642414688,10154608.0,97.30000305,349.32,3.35
NonResidential,Other,DOWNTOWN,1916,1.0986122886681096,2.4849066497880004,13.19999456431298,0.6931471805599453,0.541472,0.458528,0.6931471805599453,44984468.0,83.69999695,1265.29,2.34
NonResidential,Other,DOWNTOWN,1985,1.0986122886681096,3.044522437723423,12.861715239548843,0.6931471805599453,0.381482,0.618518,0.6931471805599453,47859812.0,124.1999969,1699.45,4.41
NonResidential,Hotel,NORTHEAST,2001,1.0986122886681096,2.0794415416798357,11.39181941420977,0.8523903004473702,0.618591,0.381408,0.6931471805599453,3663534.5,63.20000076,90.01,1.02
NonResidential,University,DOWNTOWN,1928,1.0986122886681096,2.197224577336219,11.748748293441512,0.6931471805599453,0.409697,0.590303,0.6931471805599453,11343686.0,90.69999695,388.04,3.07
NonResidential,Other,DOWNTOWN,1930,1.0986122886681096,1.3862943611198906,11.115815356444799,0.6931471805599453,1.0,0.0,0.6931471805599453,1310236.625,19.5,9.13,0.14
NonResidential,Hotel,EAST,1991,1.0986122886681096,2.3025850929940455,11.974632270565976,0.7843402603636234,0.107414,0.892586,0.6931471805599453,5328051.5,45.5,256.57,1.62
NonResidential,Hotel,DOWNTOWN,2001,1.0986122886681096,2.4849066497880004,12.054482019300867,0.7987393193910531,0.507209,0.492791,0.6931471805599453,11061916.0,85.80000305,328.63,1.91
NonResidential,Hotel,DOWNTOWN,1978,1.0986122886681096,1.9459101490553132,11.133303526819581,0.8050494025231296,0.526475,0.473525,0.6931471805599453,4456714.5,92.90000153,128.44,1.88
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1906,1.0986122886681096,1.6094379124341003,11.376693285645315,0.6931471805599453,0.326307,0.673693,0.6931471805599453,4145920.5,61.5,157.77,1.81
NonResidential,Hotel,NORTHEAST,1994,1.0986122886681096,1.791759469228055,11.31292454515828,0.6931471805599453,0.452331,0.547669,0.6931471805599453,6668568.5,81.5,215.0,2.63
NonResidential,Self-Storage Facility,NORTHEAST,1955,1.0986122886681096,1.3862943611198906,11.611484905658852,0.6931471805599453,0.883468,0.116533,0.6931471805599453,318364.8125,12.10000038,3.93,0.04
Campus,Mixed Use Property,GREATER DUWAMISH,1992,1.0986122886681096,1.6094379124341003,13.111983694392713,0.6931471805599453,0.335596,0.664404,0.6931471805599453,448385312.0,221.6999969,16870.98,34.09
