BuildingType,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
Nonresidential COS,Other,47.62395,-122.35077,1928,1.0,1,60696,0.0,1.0,0.0,0.0,875943.3125,8.100000381,6.11,0.1
Nonresidential COS,Other,47.62395,-122.35143,1928,1.0,2,262048,0.0,0.652054,0.0,0.247896,20723248.0,70.0,490.73,1.87
NonResidential,Small- and Mid-Sized Office,47.62391,-122.34837,1986,0.0,2,66240,0.035507,1.0,0.0,0.0,4166306.25,74.90000153,29.04,0.44
NonResidential,Large Office,47.62419,-122.34443,2010,1.0,6,920598,0.329902,0.752645,0.247355,0.0,36667044.0,49.79999924,674.09,0.73
NonResidential,Small- and Mid-Sized Office,47.62053,-122.35842,1970,1.0,4,76213,0.340231,0.847098,0.152902,0.0,3476212.5,68.19999695,48.76,0.64
NonResidential,Hotel,47.62291,-122.35708,2002,1.0,6,96910,0.381116,0.511488,0.488512,0.0,5155568.5,86.0,152.14,1.57
NonResidential,Hotel,47.65772,-122.31756,1962,2.0,4,50017,0.0,0.390588,0.609412,0.0,5448975.0,108.9000015,191.2,3.82
NonResidential,K-12 School,47.62548,-122.30828,1923,1.0,3,67743,0.0,0.50542,0.49458,0.0,2646879.0,39.09999847,78.85,1.16
NonResidential,K-12 School,47.62644,-122.30429,1908,1.0,6,194104,0.0,0.303528,0.696473,0.0,6219841.5,32.0,243.23,1.25
NonResidential,Small- and Mid-Sized Office,47.58408,-122.30125,2003,1.0,3,99433,0.359559,1.0,0.0,0.0,4897760.0,76.90000153,34.14,0.34
NonResidential,Other,47.67524,-122.31534,1941,1.0,4,56521,0.0,1.0,0.0,0.0,6357632.0,129.6999969,44.32,0.78
NonResidential,Other,47.67559,-122.31769,1929,1.0,2,206934,0.0,0.470452,0.529548,0.0,4253577.5,35.70000076,133.58,0.65
NonResidential,Hotel,47.73141,-122.3458,2001,1.0,4,51390,0.0,0.387173,0.612827,0.0,3611538.0,70.30000305,127.29,2.48
SPS-District K-12,K-12 School,47.7257,-122.33684,1959,1.0,1,245587,0.0,0.333683,0.666317,0.0,11765682.0,47.90000153,443.73,1.81
NonResidential,Hotel,47.72551,-122.3423,2002,1.0,3,69138,0.0,0.556025,0.443974,0.0,3242458.0,45.90000153,89.02,1.29
NonResidential,Hotel,47.6048,-122.3368,1904,1.0,5,190980,0.0,0.676747,0.323253,0.0,6505995.0,34.09999847,142.39,0.75
Nonresidential COS,Other,47.60804,-122.3367,1998,1.0,6,284100,0.0,0.669537,0.036017,0.294446,14641502.0,77.19999695,429.12,1.51
NonResidential,Hospital,47.66737,-122.37956,1954,4.0,5,285333,0.0,0.517504,0.482496,0.0,68090728.0,225.0,1990.5,6.98
Nonresidential COS,Other,47.60112,-122.32785,2006,1.0,4,61156,0.0,0.741962,0.258038,0.0,9363374.0,130.1000061,176.75,2.89
NonResidential,Other,47.59809,-122.32283,1910,1.0,4,72820,0.189783,0.652424,0.347576,0.0,2010454.625,34.70000076,46.26,0.64
NonResidential,Hotel,47.62614,-122.3467,1996,1.0,4,162222,0.087534,0.528185,0.471815,0.0,7946961.0,69.90000153,228.4,1.41
NonResidential,University,47.61495,-122.32177,1915,1.0,3,63330,0.0,0.62458,0.37542,0.0,3059758.0,47.20000076,74.33,1.17
