BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,surface_inverse
NonResidential,Hospital,CENTRAL,1990,6.0,5,597519,0.0,0.409662,0.590338,0.0,143423024.0,238.3999939,4906.33,8.21,1.6735869486995394e-06
NonResidential,Warehouse,LAKE UNION,1991,1.0,3,75397,0.10824,0.770931,0.229068,0.0,549181.375,8.199999809,9.63,0.13,1.326312718012653e-05
NonResidential,Hospital,EAST,2000,9.0,8,1158691,0.0,0.575534,0.006251,0.418215,293090784.0,217.1000061,10734.57,9.26,8.630428647499635e-07
NonResidential,Senior Care Community,DOWNTOWN,1999,1.0,5,102796,0.12268,0.735135,0.264865,0.0,10105379.0,98.30000305,193.94,1.89,9.72800498073855e-06
NonResidential,K-12 School,NORTHEAST,1928,1.0,2,55653,0.0,0.004455,0.995545,0.0,1377627.0,24.79999924,72.88,1.31,1.796848328032631e-05
NonResidential,Hotel,NORTHEAST,1931,1.0,16,106860,0.0,0.29841,0.70159,0.0,11935719.0,111.6999969,469.57,4.39,9.358038555118847e-06
NonResidential,Small- and Mid-Sized Office,NORTH,1972,1.0,5,50759,0.0,0.812996,0.187004,0.0,3147042.0,62.0,49.09,0.97,1.970093973482535e-05
NonResidential,Worship Facility,NORTHEAST,1952,1.0,2,56772,0.0,0.399721,0.600279,0.0,2439484.75,43.0,84.57,1.49,1.761431691678997e-05
NonResidential,Worship Facility,NORTHEAST,1952,1.0,3,103000,0.0,0.481712,0.518289,0.0,4854429.5,47.09999847,149.93,1.46,9.70873786407767e-06
NonResidential,Other,DOWNTOWN,1914,1.0,7,128766,0.0,0.946386,0.053614,0.0,6057410.0,47.0,57.21,0.44,7.766025192985727e-06
NonResidential,Residence Hall,DOWNTOWN,1913,1.0,9,107572,0.0,0.447924,0.0,0.552076,5572503.0,54.79999924,254.87,2.37,9.296099356709924e-06
NonResidential,Other,DOWNTOWN,1955,1.0,15,230880,0.0,1.0,0.0,0.0,62197176.0,306.3999939,433.6,1.88,4.331254331254331e-06
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1973,1.0,1,76086,0.0,0.47845,0.52155,0.0,3267564.0,42.0,101.41,1.33,1.3143022369424073e-05
NonResidential,Medical Office,MAGNOLIA / QUEEN ANNE,1927,1.0,5,190000,0.205263,0.652435,0.347565,0.0,28731502.0,183.5,661.04,3.48,5.263157894736842e-06
NonResidential,Hotel,DOWNTOWN,1961,1.0,4,122309,0.0,0.248394,0.751606,0.0,25453690.0,208.1000061,1060.13,8.67,8.176013212437352e-06
Campus,Other,DOWNTOWN,1995,4.0,3,215476,0.0,0.57411,0.425889,0.0,24017770.0,110.5999985,639.39,2.97,4.640888080343054e-06
NonResidential,Hotel,DOWNTOWN,2003,1.0,8,254273,0.152592,0.516277,0.483723,0.0,26659244.0,96.19999695,780.84,3.07,3.932780908708356e-06
Nonresidential COS,Other,DOWNTOWN,1980,1.0,2,69400,0.0,0.710175,0.289824,0.0,14833476.0,213.6999969,301.76,4.35,1.4409221902017291e-05
NonResidential,Mixed Use Property,DOWNTOWN,1900,1.0,1,62900,0.0,0.364423,0.635577,0.0,10394330.0,158.3000031,377.27,6.0,1.589825119236884e-05
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1914,1.0,4,56500,0.0,0.643002,0.0,0.356998,1380293.625,34.5,44.22,0.78,1.7699115044247787e-05
NonResidential,Warehouse,GREATER DUWAMISH,2008,1.0,4,203504,0.0,1.0,0.0,0.0,3785282.5,18.60000038,26.39,0.13,4.913908326126268e-06
NonResidential,Large Office,DOWNTOWN,1968,0.0,3,100734,0.265362,1.0,0.0,0.0,9788717.0,97.19999695,68.24,0.68,9.927134830345266e-06
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1981,1.0,4,77662,0.238263,0.855953,0.144046,0.0,5007401.0,80.59999847,68.19,0.88,1.2876310164559243e-05
NonResidential,Large Office,DOWNTOWN,1978,1.0,12,234000,0.09312,0.977737,0.022262,0.0,18661606.0,89.40000153,149.27,0.64,4.273504273504274e-06
NonResidential,Large Office,DOWNTOWN,1989,1.0,25,369996,0.0,1.0,0.0,0.0,24755086.0,64.5,172.58,0.47,2.7027319214261775e-06
NonResidential,Retail Store,DOWNTOWN,1925,1.0,10,693450,0.0,0.935955,0.063515,0.00053,40062888.0,57.79999924,398.19,0.57,1.4420650371331748e-06
NonResidential,Large Office,DOWNTOWN,1976,1.0,33,791396,0.0,0.999801,0.013177,0.0,40847752.0,60.29999924,313.3,0.4,1.263589909476419e-06
NonResidential,Large Office,DOWNTOWN,2000,1.0,23,747747,0.274259,0.899905,0.100095,0.0,30985420.0,56.20000076,359.11,0.48,1.3373507349410963e-06
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1926,1.0,10,63409,0.122333,0.394233,0.0,0.605767,3444270.0,66.90000153,170.51,2.69,1.5770631929221404e-05
