BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,surface_inverse
NonResidential,Retail Store,DOWNTOWN,1900,1.0,4,34680,0.0,0.662414,0.337587,0.0,1169948.875,33.70000076,26.38,0.76,2.8835063437139562e-05
NonResidential,Worship Facility,DOWNTOWN,1968,1.0,3,75058,0.459778,0.189197,0.810803,0.0,5587347.0,74.40000153,247.97,3.3,1.332303018998641e-05
NonResidential,Retail Store,DOWNTOWN,1915,1.0,1,36504,0.0,0.936939,0.06306,0.0,2100982.75,129.6999969,20.76,0.57,2.7394258163488934e-05
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1907,1.0,6,35200,0.0,1.0,0.0,0.0,2998208.25,85.19999695,20.9,0.59,2.840909090909091e-05
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1907,1.0,5,35840,0.0,0.470018,0.529983,0.0,1538750.625,42.90000153,48.35,1.35,2.7901785714285713e-05
NonResidential,Other,DOWNTOWN,1941,1.0,2,25920,0.0,1.0,0.0,0.0,1333432.125,57.40000153,9.3,0.36,3.8580246913580246e-05
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1928,1.0,4,30525,0.0,0.735693,0.0,0.264307,2883139.0,132.8000031,73.61,2.41,3.276003276003276e-05
NonResidential,Other,EAST,1964,1.0,4,49243,0.0,0.89198,0.10802,0.0,8476183.0,162.1000061,101.34,2.06,2.030745486668156e-05
NonResidential,Other,EAST,1912,0.0,3,20411,0.0,0.384687,0.615313,0.0,2014475.875,98.69999695,71.23,3.49,4.899318994659742e-05
NonResidential,Medical Office,EAST,1962,1.0,2,30855,0.333333,0.521858,0.478142,0.0,2946756.25,136.6000061,85.55,2.77,3.2409658078107274e-05
NonResidential,Small- and Mid-Sized Office,EAST,1910,1.0,3,73549,0.0,0.327889,0.672111,0.0,2828950.5,38.5,107.45,1.46,1.3596377924920801e-05
NonResidential,Other,EAST,1988,1.0,5,45780,0.249017,0.4897,0.005101,0.505199,10834087.0,236.6999969,462.4,10.1,2.1843599825251203e-05
NonResidential,Medical Office,EAST,1963,0.0,3,39115,0.0,0.802697,0.197303,0.0,3735308.5,74.69999695,60.04,1.53,2.55656397801355e-05
NonResidential,Other,EAST,1916,1.0,3,38038,0.0,0.384039,0.0,0.615961,1107290.625,29.5,55.61,1.46,2.62894999737105e-05
NonResidential,Worship Facility,EAST,1962,1.0,3,37796,0.0,0.358412,0.082169,0.559419,2465983.5,46.5,123.41,3.27,2.6457826224997355e-05
Nonresidential COS,Small- and Mid-Sized Office,Ballard,1993,1.0,1,27744,0.0,1.0,0.0,0.0,5355753.0,193.0,37.34,1.35,3.604382929642445e-05
NonResidential,Warehouse,BALLARD,1960,1.0,1,36444,0.0,0.999999,0.0,0.0,161311.0938,4.400000095,1.12,0.03,2.7439359016573373e-05
NonResidential,Warehouse,BALLARD,1950,1.0,1,27553,0.0,0.442332,0.557668,0.0,966677.125,35.09999847,31.61,1.15,3.6293688527565054e-05
NonResidential,Distribution Center,BALLARD,1951,3.0,1,57310,0.0,0.548284,0.451716,0.0,1253745.5,21.89999962,34.87,0.61,1.7448961786773687e-05
NonResidential,Mixed Use Property,LAKE UNION,1920,1.0,2,25920,0.0,0.78793,0.21207,0.0,989079.5,38.20000076,16.57,0.64,3.8580246913580246e-05
NonResidential,Restaurant,LAKE UNION,1919,1.0,3,40686,0.0,0.399811,0.600188,0.0,2106073.5,51.79999924,73.0,1.79,2.45784790837143e-05
NonResidential,Retail Store,LAKE UNION,1964,1.0,2,45271,0.0,0.449083,0.550916,0.0,2553763.5,56.40000153,82.72,1.83,2.2089196174151222e-05
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1920,1.0,3,28380,0.429175,0.586143,0.413857,0.0,1372213.375,48.40000153,35.77,1.26,3.5236081747709655e-05
NonResidential,Large Office,LAKE UNION,2009,1.0,5,508160,0.0,0.774431,0.225568,0.0,28053172.0,82.09999847,487.53,0.96,1.9678841309823677e-06
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1926,1.0,3,26176,0.0,0.431822,0.568177,0.0,966907.375,40.70000076,32.09,1.23,3.820293398533007e-05
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1926,1.0,1,37740,0.0,0.937101,0.062899,0.0,7442314.5,198.6000061,73.48,1.95,2.6497085320614733e-05
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1961,1.0,1,26000,0.0,0.602502,0.0,0.397498,5277482.5,105.9000015,184.09,7.08,3.846153846153846e-05
NonResidential,Worship Facility,MAGNOLIA / QUEEN ANNE,2009,1.0,3,23241,0.0,0.545797,0.454202,0.0,739210.5,31.79999924,20.64,0.89,4.30274084591885e-05
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,1,155795,0.0,0.837353,0.162647,0.0,17673018.0,113.4000015,255.83,1.64,6.418691228858436e-06
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,2002,1.0,1,21018,0.0,0.900189,0.0,0.09981,1761137.5,83.80000305,24.62,1.17,4.7578266247977927e-05
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1998,1.0,1,30533,0.0,0.44569,0.55431,0.0,5903015.0,206.1999969,192.12,6.29,3.2751449251629386e-05
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1961,1.0,2,33971,0.0,0.509019,0.490981,0.0,17686444.0,353.7000122,523.95,15.42,2.9436872626652145e-05
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1992,1.0,2,40600,0.0,0.607323,0.150688,0.055481,2485521.0,56.40000153,41.06,1.01,2.4630541871921184e-05
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1999,1.0,4,38038,0.0,1.0,0.0,0.0,2003807.75,52.70000076,13.97,0.37,2.62894999737105e-05
NonResidential,Small- and Mid-Sized Office,LAKE UNION,2007,1.0,4,64596,0.380767,0.483112,0.516887,0.0,2524228.25,60.70000076,77.8,1.2,1.548083472660846e-05
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1928,1.0,3,41466,0.146192,0.599176,0.400824,0.0,9190442.0,227.5,234.03,5.64,2.411614334635605e-05
NonResidential,Large Office,LAKE UNION,2013,1.0,6,130710,0.771173,0.898732,0.101267,0.0,7429423.0,56.79999924,86.51,0.66,7.650524060898172e-06
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1926,1.0,4,35780,0.0,1.0,0.0,0.0,1912760.75,62.59999847,13.33,0.37,2.7948574622694243e-05
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1964,1.0,4,25132,0.290785,1.0,0.0,0.0,564754.1875,55.59999847,3.94,0.16,3.978990927900685e-05
Nonresidential COS,Other,DOWNTOWN,1966,1.0,1,49680,0.0,0.460545,0.0,0.501894,2844685.0,57.29999924,119.34,2.4,2.0128824476650564e-05
Nonresidential COS,Other,DOWNTOWN,1962,1.0,1,36314,0.0,0.605863,0.213649,0.111659,1832808.75,50.5,44.33,1.22,2.753758880872391e-05
NonResidential,Other,DOWNTOWN,1916,1.0,2,25920,0.0,1.0,0.0,0.0,1257774.625,62.09999847,8.77,0.34,3.8580246913580246e-05
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1919,1.0,4,47686,0.0,0.566681,0.0,0.433319,2071670.25,60.90000153,77.48,1.62,2.0970515455269892e-05
Campus,Mixed Use Property,DOWNTOWN,1900,1.0,2,49280,0.0,0.759318,0.240682,0.0,5437110.5,110.3000031,98.28,1.99,2.0292207792207792e-05
Campus,Low-Rise Multifamily,DOWNTOWN,1942,1.0,4,45500,0.0,1.0,0.0,0.0,3778355.0,85.19999695,26.34,0.58,2.1978021978021977e-05
Campus,Restaurant,DOWNTOWN,1912,1.0,2,25380,0.0,0.463994,0.536006,0.0,6901554.0,271.8999939,218.79,8.62,3.940110323089047e-05
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1915,1.0,6,40715,0.0,0.807047,0.192953,0.0,2827772.75,69.5,44.89,1.1,2.4560972614515536e-05
NonResidential,Mixed Use Property,DOWNTOWN,1990,1.0,4,82065,0.424054,1.0,0.0,0.0,1717130.875,41.29999924,11.97,0.15,1.2185462742947663e-05
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,4,36160,0.0,1.0,0.0,0.0,1862176.875,51.5,12.98,0.36,2.7654867256637168e-05
NonResidential,Mixed Use Property,DOWNTOWN,1918,1.0,1,34617,0.0,0.546273,0.453727,0.0,5136604.5,148.3999939,143.34,4.14,2.8887540803651386e-05
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1909,1.0,5,66900,0.0,0.963739,0.036261,0.0,1634178.25,24.0,14.13,0.21,1.4947683109118087e-05
NonResidential,Mixed Use Property,DOWNTOWN,1910,1.0,3,29340,0.0,0.388736,0.611264,0.0,2160420.0,79.59999847,75.99,2.59,3.408316291751875e-05
NonResidential,Other,DOWNTOWN,1930,0.0,2,22710,0.0,0.999998,0.0,0.0,287763.5,12.69999981,2.01,0.09,4.403346543372963e-05
NonResidential,Small- and Mid-Sized Office,LAKE UNION,2000,1.0,3,50499,0.268124,0.999245,0.000754,0.0,3205182.5,86.69999695,22.46,0.44,1.980237232420444e-05
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1964,1.0,5,54465,0.176352,0.902968,0.097032,0.0,3600571.25,62.09999847,41.22,0.76,1.8360414945377765e-05
NonResidential,K-12 School,EAST,1930,1.0,2,45960,0.0,0.200285,0.799715,0.0,4167253.75,90.69999695,182.81,3.98,2.175805047867711e-05
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1959,1.0,2,21128,0.0,1.0,0.0,0.0,436604.0938,20.70000076,3.04,0.14,4.73305566073457e-05
NonResidential,Mixed Use Property,LAKE UNION,2008,1.0,4,274442,0.0,0.62967,0.37033,0.0,9155568.0,54.20000076,220.26,0.8,3.6437571508734087e-06
NonResidential,Small- and Mid-Sized Office,LAKE UNION,2013,1.0,3,51552,0.0,1.0,0.0,0.0,1539066.375,28.10000038,10.73,0.21,1.9397889509621353e-05
NonResidential,Hotel,LAKE UNION,1959,1.0,4,38520,0.0,0.569535,0.430465,0.0,2804534.0,72.80000305,75.25,1.95,2.5960539979231568e-05
NonResidential,Hotel,LAKE UNION,1961,1.0,3,29186,0.145823,0.395803,0.604198,0.0,867184.375,45.59999847,30.22,1.04,3.426300280956623e-05
NonResidential,Worship Facility,LAKE UNION,1960,1.0,1,27338,0.0,1.0,0.0,0.0,581289.0,21.29999924,4.05,0.15,3.657912063793987e-05
NonResidential,Other,EAST,1999,1.0,2,85750,0.765481,0.327247,0.672753,0.0,2045592.0,102.3000031,77.76,0.91,1.1661807580174927e-05
NonResidential,Laboratory,MAGNOLIA / QUEEN ANNE,1962,1.0,2,34416,0.0,0.3891,0.6109,0.0,12015936.0,349.1000061,422.45,12.27,2.905625290562529e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1930,1.0,3,45864,0.0,0.185419,0.814581,0.0,2590622.0,56.5,115.43,2.52,2.180359323216466e-05
NonResidential,K-12 School,NORTHWEST,1999,1.0,2,49252,0.0,0.4988,0.5012,0.0,3485865.5,57.09999847,104.91,2.13,2.0303744010395517e-05
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1987,1.0,3,33176,0.0,0.604679,0.395321,0.0,1426279.5,43.0,35.96,1.08,3.0142271521581867e-05
NonResidential,Retail Store,LAKE UNION,1993,1.0,3,25194,0.149401,0.505673,0.494327,0.0,1878742.875,87.69999695,55.95,2.22,3.9691990156386444e-05
NonResidential,Worship Facility,GREATER DUWAMISH,1977,1.0,1,21948,0.0,0.999999,0.0,0.0,326001.1875,14.89999962,2.27,0.1,4.5562238017131404e-05
NonResidential,Other,EAST,1927,1.0,3,31191,0.0,0.531556,0.468444,0.0,5876439.0,188.3999939,167.98,5.39,3.206053028117085e-05
NonResidential,Other,NORTH,1947,1.0,1,37377,0.0,0.354769,0.645231,0.0,3040978.0,85.40000153,111.73,2.99,2.675442116809803e-05
NonResidential,Warehouse,GREATER DUWAMISH,1977,1.0,1,29380,0.0,1.0,0.0,0.0,856088.625,29.10000038,5.97,0.2,3.4036759700476515e-05
NonResidential,Worship Facility,EAST,1922,1.0,2,22688,0.0,0.689313,0.310687,0.0,331675.0,14.60000038,7.07,0.31,4.407616361071932e-05
NonResidential,Other,SOUTHEAST,1962,1.0,2,22364,0.0,0.346871,0.653129,0.0,1467029.75,65.59999847,54.44,2.43,4.471472008585226e-05
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1982,1.0,2,41262,0.0,1.0,0.0,0.0,1903455.875,46.70000076,13.27,0.32,2.4235373951820075e-05
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1953,1.0,2,43183,0.0,0.880612,0.119388,0.0,7408342.0,194.6000061,92.45,2.14,2.315726095917375e-05
NonResidential,Worship Facility,NORTH,1908,1.0,3,45680,0.0,0.24523,0.75477,0.0,2077039.375,45.5,86.81,1.9,2.1891418563922943e-05
NonResidential,Senior Care Community,LAKE UNION,2006,1.0,14,724148,0.0,0.627519,0.372481,0.0,37797084.0,52.09999847,913.07,1.26,1.380933179405315e-06
NonResidential,Worship Facility,SOUTHWEST,1957,1.0,1,23562,0.0,1.0,0.0,0.0,531737.1875,15.89999962,3.71,0.16,4.244121891180715e-05
NonResidential,Small- and Mid-Sized Office,Ballard,1999,1.0,4,28844,0.0,0.999999,0.0,0.0,910718.6875,44.40000153,6.35,0.22,3.466925530439606e-05
NonResidential,Warehouse,GREATER DUWAMISH,1989,1.0,1,21101,0.0,0.254103,0.745897,0.0,675772.875,32.0,27.97,1.33,4.739111890431733e-05
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1914,1.0,2,45594,0.0,1.0,0.0,0.0,1351267.875,29.60000038,9.42,0.21,2.1932710444356715e-05
NonResidential,Other,GREATER DUWAMISH,1950,1.0,1,26660,0.0,1.0,0.0,0.0,2241280.5,84.09999847,15.62,0.59,3.7509377344336085e-05
NonResidential,Warehouse,GREATER DUWAMISH,1975,1.0,1,28126,0.0,0.687287,0.312713,0.0,870625.8125,31.0,18.63,0.66,3.555429140297234e-05
NonResidential,Warehouse,GREATER DUWAMISH,1964,1.0,1,35000,0.0,0.999999,0.0,0.0,378714.4063,10.80000019,2.64,0.08,2.857142857142857e-05
NonResidential,Warehouse,GREATER DUWAMISH,1962,1.0,1,26150,0.0,0.674862,0.325139,0.0,1208407.625,46.20000076,26.55,1.02,3.824091778202677e-05
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1967,1.0,2,24000,0.0,1.0,0.0,0.0,1088556.25,45.40000153,7.59,0.32,4.1666666666666665e-05
NonResidential,K-12 School,EAST,1968,1.0,5,43594,0.0,0.510375,0.489625,0.0,2478045.5,60.70000076,73.26,1.68,2.29389365509015e-05
NonResidential,Distribution Center,LAKE UNION,1912,1.0,1,28080,0.0,0.645522,0.354479,0.0,794724.625,28.29999924,18.54,0.66,3.561253561253561e-05
NonResidential,Senior Care Community,NORTHWEST,1954,1.0,2,51298,0.0,0.370361,0.629639,0.0,5655578.0,110.1999969,203.73,3.97,1.9493937385473118e-05
NonResidential,Worship Facility,NORTHWEST,1962,1.0,1,22047,0.0,1.0,0.0,0.0,265774.9063,11.60000038,1.85,0.08,4.5357645031069986e-05
NonResidential,Warehouse,GREATER DUWAMISH,1979,1.0,1,31600,0.0,0.485592,0.514408,0.0,3363535.5,106.4000015,103.28,3.27,3.1645569620253167e-05
NonResidential,Warehouse,GREATER DUWAMISH,2007,1.0,1,35289,0.0,0.560029,0.439971,0.0,876425.0,24.79999924,23.9,0.68,2.833744226246139e-05
NonResidential,Warehouse,GREATER DUWAMISH,1981,1.0,1,28920,0.0,0.159416,0.840584,0.0,1750419.0,58.29999924,80.09,2.77,3.457814661134163e-05
NonResidential,Warehouse,GREATER DUWAMISH,1978,1.0,1,22176,0.0,0.18667,0.813329,0.0,736428.625,33.20000076,32.77,1.48,4.5093795093795094e-05
NonResidential,Small- and Mid-Sized Office,NORTH,1974,1.0,3,39927,0.0,1.0,0.0,0.0,3568419.5,90.19999695,24.88,0.62,2.5045708417862598e-05
NonResidential,Other,NORTH,1979,1.0,1,30610,0.0,0.465704,0.534296,0.0,4294550.0,140.3000031,135.81,4.44,3.266906239790918e-05
NonResidential,Medical Office,NORTH,1980,1.0,2,26930,0.235797,1.0,0.0,0.0,1002995.0,37.20000076,6.99,0.26,3.713330857779428e-05
NonResidential,Medical Office,NORTH,1968,1.0,2,38745,0.0,0.778991,0.221009,0.0,2890379.0,44.40000153,49.62,1.28,2.5809781907342882e-05
NonResidential,Self-Storage Facility,NORTHEAST,1959,1.0,2,20296,0.0,1.0,0.0,0.0,855665.125,42.20000076,5.97,0.29,4.927079227433977e-05
NonResidential,Mixed Use Property,NORTHEAST,1945,1.0,2,22135,0.0,0.680149,0.319851,0.0,1261634.5,55.0,27.41,1.24,4.51773209848656e-05
NonResidential,Medical Office,NORTHEAST,1967,1.0,3,38378,0.0,0.443375,0.556625,0.0,1645605.125,46.90000153,53.73,1.4,2.6056594924175308e-05
NonResidential,Warehouse,NORTHEAST,1980,1.0,2,33576,0.0,0.305924,0.694076,0.0,1275231.75,38.0,49.73,1.48,2.9783178460805337e-05
NonResidential,Supermarket / Grocery Store,NORTHEAST,1975,1.0,1,33005,0.0,0.691521,0.308479,0.0,10642754.0,304.2000122,225.67,6.84,3.0298439630359037e-05
NonResidential,Other,EAST,1981,1.0,1,20971,0.0,1.0,0.0,0.0,729397.1875,33.29999924,5.08,0.24,4.7684898192742357e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1927,1.0,3,23910,0.0,0.77631,0.223689,0.0,873577.3125,36.5,15.11,0.63,4.1823504809703055e-05
NonResidential,Worship Facility,BALLARD,1910,1.0,2,21765,0.0,0.277989,0.72201,0.0,431390.4063,19.79999924,17.38,0.8,4.5945325063174825e-05
Campus,University,EAST,1939,1.0,2,2200000,0.0,0.537929,0.46207,0.0,114648520.0,66.69999695,3243.48,1.47,4.545454545454545e-07
NonResidential,Worship Facility,CENTRAL,1901,1.0,2,26560,0.0,0.348266,0.651734,0.0,1751483.875,65.90000153,64.88,2.44,3.765060240963856e-05
NonResidential,Warehouse,LAKE UNION,1957,1.0,2,20140,0.0,1.000003,0.0,0.0,116486.6016,5.800000191,0.81,0.04,4.965243296921549e-05
NonResidential,Retail Store,GREATER DUWAMISH,1992,1.0,2,38845,0.0,0.475697,0.524303,0.0,6917280.0,178.1000061,215.56,5.55,2.5743338911056765e-05
NonResidential,Supermarket / Grocery Store,GREATER DUWAMISH,1953,1.0,1,26092,0.0,0.656871,0.343129,0.0,7619445.0,293.7000122,173.75,6.66,3.832592365476008e-05
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1967,1.0,1,25500,0.0,0.163731,0.836269,0.0,1213869.75,47.59999847,55.3,2.17,3.9215686274509805e-05
NonResidential,Warehouse,GREATER DUWAMISH,1961,1.0,1,41895,0.0,0.713365,0.286634,0.0,1242311.5,31.0,25.09,0.6,2.3869196801527628e-05
NonResidential,Retail Store,GREATER DUWAMISH,1958,1.0,2,56193,0.0,0.744192,0.255807,0.0,2497942.75,44.5,46.9,0.83,1.7795810866122116e-05
NonResidential,K-12 School,BALLARD,1922,1.0,3,35448,0.0,0.203306,0.796693,0.0,1379932.5,38.90000153,60.34,1.7,2.8210336267208305e-05
NonResidential,Supermarket / Grocery Store,BALLARD,1966,1.0,1,29214,0.0,0.667001,0.332999,0.0,9336239.0,319.6000061,208.53,7.14,3.42301636201821e-05
NonResidential,Supermarket / Grocery Store,BALLARD,2000,1.0,1,89103,0.48298,0.556544,0.443456,0.0,14029480.0,298.2999878,384.85,4.32,1.122296667901193e-05
NonResidential,Other,BALLARD,1961,1.0,1,32000,0.0,0.412157,0.587843,0.0,1331122.125,38.5,45.38,1.42,3.125e-05
NonResidential,Mixed Use Property,BALLARD,1910,1.0,2,31140,0.0,0.250767,0.749232,0.0,935580.3125,30.0,38.86,1.25,3.2113037893384715e-05
NonResidential,Warehouse,BALLARD,1975,1.0,3,41478,0.0,0.59269,0.40731,0.0,3035962.25,73.19999695,78.22,1.89,2.410916630502917e-05
NonResidential,Warehouse,BALLARD,1980,1.0,1,39840,0.0,1.0,0.0,0.0,752104.0,18.89999962,5.24,0.13,2.5100401606425704e-05
Nonresidential COS,Other,BALLARD,2004,1.0,1,30576,0.509419,0.606581,0.393419,0.0,1533245.75,84.69999695,38.52,1.26,3.270538984824699e-05
NonResidential,Other,BALLARD,1924,1.0,2,21528,0.0,0.683957,0.316043,0.0,306911.0938,14.30000019,6.61,0.31,4.645113340765515e-05
NonResidential,Other,BALLARD,1928,1.0,2,30000,0.0,0.890971,0.109029,0.0,1094940.75,42.40000153,13.14,0.44,3.3333333333333335e-05
NonResidential,Other,BALLARD,1942,1.0,2,30087,0.0,1.0,0.0,0.0,5274642.0,172.6000061,36.77,1.22,3.323694618938412e-05
NonResidential,Worship Facility,BALLARD,1975,1.0,1,40445,0.0,0.344951,0.655049,0.0,786253.6875,19.39999962,29.24,0.72,2.472493509704537e-05
NonResidential,Retail Store,BALLARD,1996,1.0,1,23500,0.0,0.89799,0.10201,0.0,1137967.5,48.40000153,13.29,0.57,4.2553191489361704e-05
NonResidential,Retail Store,Ballard,1967,1.0,1,22420,0.0,0.660438,0.339563,0.0,1404253.75,60.90000153,31.79,1.42,4.4603033006244425e-05
NonResidential,Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,1961,1.0,1,25842,0.0,0.546704,0.453296,0.0,8518313.0,327.7999878,237.54,9.19,3.869669530222119e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1992,1.0,3,26389,0.0,1.0,0.0,0.0,1208035.375,45.79999924,8.42,0.32,3.789457728599037e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1982,1.0,3,25859,0.0,0.775177,0.224822,0.0,858780.625,33.20000076,14.9,0.58,3.867125565567114e-05
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1974,1.0,1,25600,0.0,0.722067,0.277934,0.0,1730600.625,67.59999847,34.26,1.34,3.90625e-05
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1965,1.0,1,23169,0.0,1.0,0.0,0.0,222255.9063,21.79999924,1.55,0.07,4.316112046268721e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,2008,1.0,4,41784,0.20101,1.0,0.0,0.0,1294615.25,38.79999924,9.03,0.22,2.3932605782117557e-05
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1960,1.0,1,56884,0.0,0.565756,0.434244,0.0,1388345.125,24.39999962,37.49,0.66,1.757963574994726e-05
NonResidential,Retail Store,BALLARD,1989,1.0,1,32810,0.0,0.652274,0.347726,0.0,2017967.75,61.5,46.44,1.42,3.047851264858275e-05
NonResidential,Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1980,1.0,3,30989,0.0,0.999996,0.0,0.0,97690.39844,3.200000048,0.68,0.02,3.226951498918971e-05
NonResidential,Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1915,1.0,3,39952,0.0,0.999997,0.0,0.0,57133.19922,1.399999976,0.4,0.01,2.5030036043251902e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1961,1.0,2,20022,0.0,1.0,0.0,0.0,657385.8125,31.60000038,4.58,0.23,4.9945060433523126e-05
NonResidential,Distribution Center,MAGNOLIA / QUEEN ANNE,1960,1.0,2,36498,0.0,0.533888,0.466112,0.0,520011.8125,14.69999981,14.81,0.41,2.7398761575976766e-05
NonResidential,Distribution Center,MAGNOLIA / QUEEN ANNE,1968,1.0,1,35946,0.0,0.63953,0.360469,0.0,469499.8125,13.10000038,11.08,0.31,2.781950703833528e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,2007,1.0,4,30152,0.188379,0.998845,0.001155,0.0,845044.125,33.59999847,5.94,0.2,3.316529583443884e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1979,1.0,4,22365,0.0,1.0,0.0,0.0,727385.8125,33.59999847,5.07,0.23,4.47127207690588e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1994,1.0,4,30172,0.0,1.0,0.0,0.0,904059.875,30.0,6.3,0.21,3.3143311679703034e-05
NonResidential,Warehouse,BALLARD,1927,1.0,4,42500,0.0,0.999998,0.0,0.0,241478.5938,5.099999905,1.68,0.04,2.3529411764705884e-05
NonResidential,Small- and Mid-Sized Office,BALLARD,1901,1.0,4,23032,0.0,0.999999,0.0,0.0,1121537.75,52.90000153,7.82,0.34,4.341785342132685e-05
NonResidential,Other,BALLARD,1900,1.0,3,45750,0.10741,0.24165,0.75835,0.0,7240274.0,169.0,303.81,6.64,2.185792349726776e-05
NonResidential,Small- and Mid-Sized Office,BALLARD,1968,1.0,2,23500,0.0,0.707413,0.292587,0.0,1686405.0,71.80000305,34.52,1.47,4.2553191489361704e-05
NonResidential,Small- and Mid-Sized Office,BALLARD,1966,1.0,1,22282,0.0,0.528202,0.471798,0.0,579888.3125,26.0,16.67,0.75,4.487927475092002e-05
NonResidential,Self-Storage Facility,BALLARD,1902,1.0,2,24000,0.0,0.401669,0.598331,0.0,502898.6875,21.0,17.39,0.72,4.1666666666666665e-05
NonResidential,Mixed Use Property,BALLARD,1909,1.0,3,27085,0.0,0.492017,0.507983,0.0,1995131.75,73.69999695,60.67,2.24,3.692080487354624e-05
Nonresidential COS,Other,NORTH,1996,0.0,2,29258,0.0,0.322567,0.677433,0.0,8086943.5,233.5,309.14,10.57,3.417868617130358e-05
NonResidential,Small- and Mid-Sized Office,NORTH,1931,1.0,2,37500,0.0,0.722015,0.277985,0.0,2235765.5,59.59999847,44.26,1.18,2.6666666666666667e-05
NonResidential,K-12 School,NORTHWEST,1930,1.0,3,23983,0.0,0.531619,0.468382,0.0,1164364.75,48.5,33.28,1.39,4.169620147604553e-05
NonResidential,Distribution Center,DELRIDGE,1980,1.0,1,24100,0.0,0.33525,0.66475,0.0,809870.8125,34.29999924,30.49,1.27,4.149377593360996e-05
NonResidential,K-12 School,NORTHEAST,2004,3.0,2,31343,0.0,0.426137,0.573863,0.0,3846501.25,74.69999695,128.66,4.1,3.1905050569505154e-05
NonResidential,Mixed Use Property,NORTHWEST,1996,1.0,3,55912,0.408678,1.0,0.0,0.0,2450442.75,74.09999847,17.08,0.31,1.7885248247245672e-05
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1957,1.0,2,20294,0.0,0.308992,0.691009,0.0,1735995.75,85.5,67.45,3.32,4.927564797477087e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1983,1.0,4,40571,0.267408,1.0,0.0,0.0,1286817.375,53.59999847,8.97,0.22,2.464814769170097e-05
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1983,1.0,4,41707,0.375453,1.0,0.0,0.0,1755788.5,42.09999847,12.24,0.29,2.397679046682811e-05
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1960,1.0,2,57644,0.0,0.726805,0.273195,0.0,2189735.0,39.70000076,42.87,0.74,1.734785927416557e-05
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1955,1.0,2,39497,0.0,0.790603,0.209396,0.0,1700057.375,43.0,28.28,0.72,2.531837861103375e-05
